ID,Hotel Name,Location
934,"Patina Maldives, Fari Islands","Savannah, Georgia, United States"
935,Paws Up Montana,"Elounda, Greece"
936,Pendry Chicago,"Krabi, Thailand"
937,Pendry Manhattan West,"Galápagos, Ecuador"
938,Pendry Newport Beach,"Governador Celso Ramos, Brazil"
939,Pendry Park City,"Zakynthos, Greece"
940,Pendry San Diego,"Florence, Italy"
941,Pendry Washington DC - The Wharf,"Milan, Italy"
942,Pendry West Hollywood,"Rome, Italy"
943,Penha Longa Resort,"Big Sur, California, United States"
944,"Perry Lane Hotel, a Luxury Collection Hotel","Bali, Indonesia"
945,"Phaea Blue Palace, Elounda, Crete","Lisbon, Portugal"
946,"Phulay Bay, a Ritz-Carlton Reserve","Paraty, Brazil"
947,Pikaia Lodge,"Enniskerry, Ireland"
948,Ponta dos Ganchos Exclusive Resort,"Cozumel, Mexico"
949,Porto Zante Villas & Spa,"Meadows Of Dan, Virginia, United States"
950,Portrait Firenze,"Paris, France"
951,Portrait Milano,"Forte Dei Marmi, Italy"
952,Portrait Roma,"Marbella, Spain"
953,Post Ranch Inn,"Amsterdam, Netherlands"
954,Potato Head Suites,"Capri, Italy"
955,Pousada de Lisboa - Praca do Comercio,"Abu Dhabi, United Arab Emirates"
956,Pousada Literaria de Paraty,"Hangzhou, China"
957,Powerscourt Hotel Resort Spa,"Whitsundays, Australia"
958,Presidente InterContinental Cozumel Resort & Spa,"Long Bay Village, Anguilla"
959,"Primland, Auberge Resorts Collection","Bali, Indonesia"
960,"Prince de Galles, a Luxury Collection Hotel, Paris","Boston, Massachusetts, United States"
961,Principe Forte dei Marmi,"Doha, Qatar"
962,Puente Romano Beach Resort,"Dubai, United Arab Emirates"
963,Pulitzer Amsterdam,"Warsaw, Poland"
964,Punta Tragara,"Siem Reap, Cambodia"
965,Qasr al Sarab Desert Resort by Anantara,"Phnom Penh, Cambodia"
966,Qiushui Villa,"Istanbul, Turkey"
967,"qualia, Great Barrier Reef","London, United Kingdom"
968,Quintessence Hotel Anguilla,"Makati, Philippines"
969,Raffles Bali,"Thinadhoo, Maldives"
970,Raffles Boston,"Praslin, Seychelles"
971,Raffles Doha,"Shenzhen, China"
972,Raffles Dubai,"Singapore, Singapore"
973,Raffles Europejski Warsaw,"Dubai, United Arab Emirates"
974,Raffles Grand Hotel d'Angkor,"Udaipur, India"
975,Raffles Hotel Le Royal,"Phra Pradaeng, Thailand"
976,Raffles Istanbul,"Jaipur, India"
977,Raffles London at The OWO,"Rancho Sante Fe, California, United States"
978,Raffles Makati,"Berlin, Germany"
979,Raffles Maldives Meradhoo Resort,"Hong Kong, China"
980,Raffles Seychelles,"Phu Quoc, Vietnam"
981,Raffles Shenzhen,"Tivat, Montenegro"
982,Raffles Singapore,"Santa Monica, California, United States"
983,Raffles The Palm Dubai,"Madeira, Portugal"
984,Raffles Udaipur,"Kitzbühel, Austria"
985,RAKxa Integrative Wellness,"Cortona, Italy"
986,"Rambagh Palace, Jaipur","Puerto Natales, Chile"
987,Rancho Valencia Resort & Spa,"Washington, District of Columbia, United States"
988,Regent Berlin,"Sacred Valley, Peru"
989,Regent Hong Kong,"Montreal, Quebec, Canada"
990,Regent Phu Quoc,"Paris, France"
991,Regent Porto Montenegro,"Rome, Italy"
992,Regent Santa Monica Beach,"Vail, Colorado, United States"
993,"Reid's Palace, A Belmond Hotel, Madeira","Scotland, United Kingdom"
994,Relais & Châteaux Hotel Tennerhof,"Kyoto, Japan"
995,Relais IL Falconiere & Spa,"Arzachena, Italy"
996,REMOTA,"Rome, Italy"
997,Riggs Washington D.C.,"Naples, Italy"
998,"Rio Sagrado, A Belmond Hotel, Sacred Valley","Amsterdam, Netherlands"
999,Ritz-Carlton Montreal,"Nassau, Bahamas"
1000,Ritz Paris,"Bangkok, Thailand"
1001,"Rocco Forte House, Piazza di Spagna Roma","Beijing, China"
1002,RockResorts - The Arrabelle at Vail Square,"Hamilton, Bermuda"
1003,Rocpool Reserve,"Montalcino, Italy"
1004,"ROKU Kyoto, LXR Hotels & Resorts","Hong Kong, China"
1005,"Romazzino, a Belmond Hotel, Costa Smeralda","Vancouver, British Columbia, Canada"
1006,"Rome Cavalieri, A Waldorf Astoria Hotel","Santa Fe, New Mexico, United States"
1007,Romeo hotel,"Kerikeri, New Zealand"
1008,Rosewood Amsterdam - A Virtuoso Preview Property,"Saint Barthelemy, Saint Barthélemy"
1009,Rosewood Baha Mar,"Virgin Gorda, British Virgin Islands"
1010,Rosewood Bangkok,"London, United Kingdom"
1011,Rosewood Beijing,"Dallas, Texas, United States"
1012,Rosewood Bermuda,"Riviera Maya, Mexico"
1013,Rosewood Castiglion del Bosco,"Montecito, California, United States"
1014,Rosewood Hong Kong,"Munich, Germany"
1015,Rosewood Hotel Georgia,"Phuket, Thailand"
1016,Rosewood Inn of the Anasazi,"Menlo Park, California, United States"
1017,Rosewood Kauri Cliffs,"San Miguel De Allende, Mexico"
1018,Rosewood Le Guanahani,"São Paulo, Brazil"
1019,Rosewood Little Dix Bay,"Hof Bei Salzburg, Austria"
1020,Rosewood London,"Vienna, Austria"
1021,Rosewood Mansion On Turtle Creek,"Madrid, Spain"
1022,Rosewood Mayakoba,"Washington, District of Columbia, United States"
1023,Rosewood Miramar Beach,"Montego Bay, Jamaica"
1024,Rosewood Munich,"Champillon, France"
1025,Rosewood Phuket,"Royal Davui Island, Fiji"
1026,Rosewood Sand Hill,"Sanremo, Italy"
1027,Rosewood San Miguel de Allende,"Casablanca, Morocco"
1028,Rosewood Sao Paulo,"Marrakech, Morocco"
1029,Rosewood Schloss Fuschl,"Phoenix, Arizona, United States"
1030,Rosewood Vienna,"Lausanne, Switzerland"
1031,Rosewood Villa Magna,"Baltimore, Maryland, United States"
1032,Rosewood Washington DC,"Pray, Montana, United States"
1033,Round Hill Hotel & Villas,"Middleburg, Virginia, United States"
1034,Royal Champagne Hotel & Spa,"Washington, District of Columbia, United States"
1035,"Royal Davui Island Resort, Fiji","Venice, Italy"
1036,Royal Hotel Sanremo,"Paradise Valley, Arizona, United States"
1037,Royal Mansour Casablanca,"Taormina, Italy"
1038,Royal Mansour Marrakech,"Holetown, Barbados"
1039,Royal Palms Resort and Spa,"Kassándra, Greece"
1040,Royal Savoy Hotel & Spa,"Ischia, Italy"
1041,Sagamore Pendry Baltimore,"Mykonos, Greece"
1042,Sage Lodge,"Rio De Janeiro, Brazil"
1043,Salamander Middleburg,"Majorca, Spain"
1044,Salamander Washington DC,"Santa Barbara, California, United States"
1045,San Clemente Palace Kempinski Venice,"Madeira, Portugal"
1046,"Sanctuary Camelback Mountain, A Gurney’s Resort & Spa","Johannesburg, South Africa"
1047,"San Domenico Palace, Taormina, A Four Seasons Hotel","Elmau, Germany"
1048,Sandy Lane Hotel,"Kronberg, Germany"
1049,Sani Asterias at Sani Resort,"Marrakech, Morocco"
1050,San Montano Resort & Spa,"Lanai City, Hawaii, United States"
1051,"Santa Marina, a Luxury Collection Resort, Mykonos","Rancho Mirage, California, United States"
1052,Santa Teresa Hotel RJ - MGallery,"Crafers, Australia"
1053,Sant Francesc Hotel Singular,"Barcelona, Spain"
1054,San Ysidro Ranch,"Muscat, Oman"
1055,Savoy Palace,"Boracay, Philippines"
1056,"Saxon Hotel, Villas & Spa","Istanbul, Turkey"
1057,Schloss Elmau Luxury Spa Retreat and Cultural Hideaway,"Beijing, China"
1058,Schlosshotel Kronberg,"Jeddah, Saudi Arabia"
1059,Selman Marrakech,"Trou D'eau Douce, Mauritius"
1060,"Sensei Lana'i, A Four Seasons Resort","Paris, France"
1061,SENSEI Porcupine Creek,"Abu Dhabi, United Arab Emirates"
1062,Sequoia Lodge,"Shanghai, China"
1063,Serras Barcelona,"Singapore, Singapore"
1064,"Shangri-La Al Husn, Muscat","Sydney, Australia"
1065,"Shangri-La Boracay, Philippines","Cairns, Australia"
1066,"Shangri-La Bosphorus, Istanbul","London, United Kingdom"
1067,"Shangri-La China World Summit Wing, Beijing","Tokyo, Japan"
1068,Shangri-La Jeddah,"Toronto, Ontario, Canada"
1069,"Shangri-La Le Touessrok, Mauritius","Ulaanbaatar, Mongolia"
1070,Shangri-La Paris,"Vancouver, British Columbia, Canada"
1071,"Shangri-La Qaryat Al Beri, Abu Dhabi","Cancún, Mexico"
1072,"Shangri-La Qiantan, Shanghai","County Kerry, Ireland"
1073,Shangri-La Singapore,"San Diego, California, United States"
1074,Shangri-La Sydney,"Santa Monica, California, United States"
1075,Shangri-La The Marina Cairns,"Busan, South Korea"
1076,"Shangri-La The Shard, London","Seoul, South Korea"
1077,Shangri-La Tokyo,"Saint George's, Grenada"
1078,Shangri-La Toronto,"Perugia, Italy"
1079,"Shangri-La Ulaanbaatar, Mongolia","Venice, Italy"
1080,Shangri-La Vancouver,"Bangkok, Thailand"
1081,SHA Wellness Clinic Mexico,"Rome, Italy"
1082,Sheen Falls Lodge,"Con Dao Island, Vietnam"
1083,"Shore House at The Del, LXR Hotels & Resorts","Crans-Montana, Switzerland"
1084,Shutters on the Beach,"Lamego, Portugal"
1085,Signiel Busan,"Mamanuca Islands, Fiji"
1086,SIGNIEL Seoul,"Sant Joan de Labritja, Spain"
1087,"Silversands Grand Anse, Grenada","Milas, Turkey"
1088,Sina Brufani,"Laamu Atoll, Maldives"
1089,Sina Centurion Palace,"Rome, Italy"
1090,Sindhorn Kempinski Hotel Bangkok,"Koh Samui, Thailand"
1091,Singer Palace Hotel Roma,"Shaharut, Israel"
1092,Six Senses Con Dao,"Phangnga, Thailand"
1093,Six Senses Crans Montana,"Zighy Bay, Oman"
1094,Six Senses Douro Valley,"Las Vegas, Nevada, United States"
1095,Six Senses Fiji,"Nassau, Bahamas"
1096,Six Senses Ibiza,"Los Angeles, California, United States"
1097,Six Senses Kaplankaya,"Miami Beach, Florida, United States"
1098,Six Senses Laamu,"Auckland, New Zealand"
1099,Six Senses Rome,"Berlin, Germany"
1100,Six Senses Samui,"Adelaide, Australia"
1101,Six Senses Shaharut,"Auckland, New Zealand"
1102,Six Senses Yao Noi,"Cartagena, Colombia"
1103,Six Senses Zighy Bay,"Chicago, Illinois, United States"
1104,SKYLOFTS at MGM Grand,"Denarau, Fiji"
1105,SLS Baha Mar,"Moorea, French Polynesia"
1106,SLS Beverly Hills,"Panama City, Panama"
1107,SLS South Beach,"Hanoi, Vietnam"
1108,SO/ Auckland,"Aswan, Egypt"
1109,SO/ Berlin Das Stue,"Xian, China"
1110,Sofitel Adelaide,"Cartagena, Colombia"
1111,Sofitel Auckland Viaduct Harbour,"Amsterdam, Netherlands"
1112,Sofitel Baru Calablanca Beach Resort,"Mexico City, Mexico"
1113,Sofitel Chicago Magnificent Mile,"Montevideo, Uruguay"
1114,Sofitel Fiji Resort & Spa,"Munich, Germany"
1115,Sofitel Kia Ora Moorea Beach Resort,"Paris, France"
1116,Sofitel Legend Casco Viejo Panama,"Rome, Italy"
1117,Sofitel Legend Metropole Hanoi,"Sydney, Australia"
1118,Sofitel Legend Old Cataract Aswan,"Wellington, New Zealand"
1119,Sofitel Legend People's Grand Hotel Xian,"Napa, California, United States"
1120,Sofitel Legend Santa Clara Cartagena,"San José del Cabo, Mexico"
1121,Sofitel Legend The Grand Amsterdam,"Monsaraz, Portugal"
1122,Sofitel Mexico City Reforma,"Urubamba, Peru"
1123,Sofitel Montevideo Casino Carrasco & Spa,"Oslo, Norway"
1124,Sofitel Munich Bayerpost,"Baa Atoll, Maldives"
1125,Sofitel Paris Le Faubourg,"Noonu Atoll, Maldives"
1126,Sofitel Rome Villa Borghese,"Koh Kood, Thailand"
1127,Sofitel Sydney Darling Harbour,"Lhasa, Tibet , China"
1128,Sofitel Wellington,"Vail, Colorado, United States"
1129,"Solage, Auberge Resorts Collection","Sonora Island, British Columbia, Canada"
1130,"Solaz, a Luxury Collection Resort Los Cabos","Paris, France"
1131,São Lourenço do Barrocal,"Franklin, Tennessee, United States"
1132,Sol y Luna,"Saint George, Grenada"
1133,Sommerro,"Maryvale, Australia"
1134,Soneva Fushi,"Bowen Mountain, Australia"
1135,Soneva Jani,"Portofino, Italy"
1136,Soneva Kiri,"Portofino, Italy"
1137,Songtsam Linka Retreat Lhasa,"Soldeu, Andorra"
1138,Sonnenalp Hotel,"Agios Nikolaos, Greece"
1139,Sonora Resort Canada,"Napa, California, United States"
1140,SO/ Paris,"Frankfurt am Main, Germany"
1141,Southall Farm & Inn,"Brussels, Belgium"
1142,Spice Island Beach Resort,"Park City, Utah, United States"
1143,Spicers Peak Lodge,"Grândola, Portugal"
1144,Spicers Sangoma Retreat,"Soufrière, Saint Lucia"
1145,"Splendido, A Belmond Hotel, Portofino","Machu Picchu, Peru"
1146,"Splendido Mare, A Belmond Hotel, Portofino","Provo, Utah, United States"
1147,Sport Hotel Hermitage & Spa,"West Hollywood, California, United States"
1148,St. Nicolas Bay Resort Hotel & Villas,"Mendoza, Argentina"
1149,"Stanly Ranch, Auberge Resorts Collection","Bodrum, Turkey"
1150,Steigenberger Icon Frankfurter Hof,"Punta De Mita, Mexico"
1151,Steigenberger Icon Wiltcher's,"La Fortuna, Costa Rica"
1152,Stein Eriksen Lodge Deer Valley,"Cappadocia, Turkey"
1153,Sublime Comporta,"London, United Kingdom"
1154,"Sugar Beach, A Viceroy Resort","San Francisco, California, United States"
1155,SUMAQ Machu Picchu Hotel,"Cape Town, South Africa"
1156,Sundance Mountain Resort,"Malé, Maldives"
1157,Sunset Tower Hotel,"Hyderabad, India"
1158,Susana Balbo Winemaker's House & Spa Suites,"Udaipur, India"
1159,"Susona Bodrum, LXR Hotels & Resorts","New Delhi, India"
1160,"Susurros del Corazón, Auberge Resorts Collection","New Delhi, India"
1161,Tabacon Thermal Resort & Spa,"Urubamba, Peru"
1162,Tafoni Houses Cave Hotel,"Los Angeles, California, United States"
1163,Taj 51 Buckingham Gate Suites and Residences,"Tourrettes, France"
1164,Taj Campton Place,"Gstaad, Switzerland"
1165,Taj Cape Town,"Shanghai, China"
1166,"Taj Exotica Resort & Spa, Maldives","Bilbao, Spain"
1167,Taj Falaknuma Palace,"Edinburgh, Scotland, United Kingdom"
1168,Taj Lake Palace,"London, United Kingdom"
1169,Taj Mahal New Delhi,"New York, New York, United States"
1170,"Taj Palace, New Delhi","London, United Kingdom"
1171,"Tambo del Inka, a Luxury Collection Resort & Spa, Valle Sagrado","Bodrum, Turkey"
1172,Terranea Resort,"Arue, French Polynesia"
1173,Terre Blanche Hôtel Spa Golf Resort,"Palm Beach, Florida, United States"
1174,The Alpina Gstaad,"Palm Beach, Florida, United States"
1175,The Anandi Hotel and Spa Shanghai,"Newport, Rhode Island, United States"
1176,The Artist Grand Hotel of Art,"London, United Kingdom"
1177,"The Balmoral, a Rocco Forte hotel","Edinburgh, Scotland, United Kingdom"
1178,The Beaumont,"Scottsdale, Arizona, United States"
1179,"The Beekman, A Thompson Hotel","Cabo San Lucas, Mexico"
1180,"The Berkeley, London","Tokyo, Japan"
1181,The Bodrum EDITION,"Singapore, Singapore"
1182,The Brando,"Saas-Fee, Switzerland"
1183,The Brazilian Court Hotel,"Queenstown, New Zealand"
1184,The Breakers Palm Beach,"New York, New York, United States"
1185,The Brenton,"Newport, Rhode Island, United States"
1186,"The Cadogan, A Belmond Hotel, London","Munich, Germany"
1187,The Caledonian Edinburgh,"Charleston, South Carolina, United States"
1188,"The Canyon Suites at The Phoenician, a Luxury Collection Resort, Scottsdale","White Lake, New York, United States"
1189,"The Cape, a Thompson Hotel","New York, New York, United States"
1190,The Capitol Hotel Tokyu,"Andermatt, Switzerland"
1191,The Capitol Kempinski Hotel Singapore,"Tivat, Montenegro"
1192,The Capra,"Muscat, Oman"
1193,The Carlin Boutique Hotel,"Negril, Jamaica"
1194,"The Carlyle, A Rosewood Hotel","Sea Island, Georgia, United States"
1195,The Chanler at Cliff Walk,"Dublin, Ireland"
1196,"The Charles Hotel, a Rocco Forte hotel","Palm Beach, Florida, United States"
1197,The Charleston Place,"London, United Kingdom"
1198,The Chatwal Lodge,"Las Vegas, Nevada, United States"
1199,"The Chatwal, New York","Nassau, Bahamas"
1200,The Chedi Andermatt,"Gregory Town, Bahamas"
1201,The Chedi Luštica Bay,"Fort Worth, Texas, United States"
1202,The Chedi Muscat,"Langkawi, Malaysia"
1203,The Cliff Hotel,"Tel Aviv, Israel"
1204,The Cloister at Sea Island,"Charleston, South Carolina, United States"
1205,"The College Green Hotel Dublin, Autograph Collection","Zurich, Switzerland"
1206,"The Colony Hotel, Palm Beach","Athens, Greece"
1207,"The Connaught, London","New York, New York, United States"
1208,The Cosmopolitan of Las Vegas,"Vancouver, British Columbia, Canada"
1209,The Cove at Atlantis,"Washington, District of Columbia, United States"
1210,The Cove Eleuthera,"London, United Kingdom"
1211,The Crescent Hotel Fort Worth,"London, United Kingdom"
1212,The Datai Langkawi,"Yountville, California, United States"
1213,The David Kempinski Tel Aviv,"Killarney, Ireland"
1214,The Dewberry Charleston,"Banff, Alberta, Canada"
1215,The Dolder Grand,"Lake Louise, Alberta, Canada"
1216,THE DOLLI,"Whistler, British Columbia, Canada"
1217,The Dominick,"Seattle, Washington, United States"
1218,"the DOUGLAS, an Autograph Collection Hotel","Ballater, United Kingdom"
1219,The Dupont Circle,"New York, New York, United States"
1220,The Egerton House Hotel,"Rome, Italy"
1221,"The Emory, London","Hamburg, Germany"
1222,The Estate Yountville,"Singapore, Singapore"
1223,The Europe Hotel & Resort,"Singapore, Singapore"
1224,The Fairmont Banff Springs,"Sydney, Australia"
1225,The Fairmont Chateau Lake Louise,"Phoenix, Arizona, United States"
1226,The Fairmont Chateau Whistler,"Park City, Utah, United States"
1227,The Fairmont Olympic Hotel,"London, United Kingdom"
1228,The Fife Arms,"York, United Kingdom"
1229,The Fifth Avenue Hotel,"Greenough, Montana, United States"
1230,The First Roma Arte,"New York, New York, United States"
1231,The Fontenay Hamburg,"Venice, Italy"
1232,The Fullerton Bay Hotel Singapore,"Washington, District of Columbia, United States"
1233,The Fullerton Hotel Singapore,"Toronto, Ontario, Canada"
1234,The Fullerton Hotel Sydney,"Destin, Florida, United States"
1235,The Global Ambassador,"Nashville, Tennessee, United States"
1236,"The Goldener Hirsch, Auberge Resorts Collection","Hershey, Pennsylvania, United States"
1237,The Goring,"New Delhi, India"
1238,"The Grand, York","Los Olivos, California, United States"
1239,the green o,"Hilton Head Island, South Carolina, United States"
1240,The Greenwich Hotel,"Santa Fe, New Mexico, United States"
1241,"The Gritti Palace, a Luxury Collection Hotel, Venice","Aurora, New York, United States"
1242,The Hay-Adams,"Lisbon, Portugal"
1243,The Hazelton Hotel,"Tel Aviv, Israel"
1244,The Henderson Beach Resort & Spa,"Washington, District of Columbia, United States"
1245,The Hermitage Hotel Nashville,"Nashville, Tennessee, United States"
1246,The Hotel Hershey,"Dallas, Texas, United States"
1247,The Imperial New Delhi,"Honolulu, Hawaii, United States"
1248,"The Inn at Mattei's Tavern, Auberge Resorts Collection","Kildare, Ireland"
1249,The Inn & Club at Harbour Town at The Sea Pines Resort,"Killarney, Ireland"
1250,The Inn of the Five Graces,"Hong Kong, China"
1251,The Inns of Aurora,"London, United Kingdom"
1252,"The Ivens, Autograph Collection","Chengdu, China"
1253,"The Jaffa, a Luxury Collection Hotel, Tel Aviv","Boston, Massachusetts, United States"
1254,"The Jefferson, Washington, DC","Chicago, Illinois, United States"
1255,"The Joseph, a Luxury Collection Hotel, Nashville","Gold Coast, Australia"
1256,"The Joule, Dallas","Pasadena, California, United States"
1257,The Kahala Hotel & Resort,"London, United Kingdom"
1258,The K Club,"Melbourne, Australia"
1259,The Killarney Park,"New York, New York, United States"
1260,"The Landmark Mandarin Oriental, Hong Kong","Sydney, Australia"
1261,"The Lanesborough London, Oetker Collection","Jaipur, India"
1262,"The Langbo Chengdu, in the Unbound Collection by Hyatt","New Delhi, India"
1263,"The Langham, Boston","Udaipur, India"
1264,"The Langham, Chicago","Bali, Indonesia"
1265,"The Langham, Gold Coast & Jewel Residences managed by Langham","Aspen, Colorado, United States"
1266,"The Langham Huntington, Pasadena","Saint Simons Island, Georgia, United States"
1267,"The Langham, London","Stowe, Vermont, United States"
1268,"The Langham, Melbourne","San Diego, California, United States"
1269,"The Langham, New York, Fifth Avenue","New Delhi, India"
1270,"The Langham, Sydney","London, United Kingdom"
1271,The Leela Palace Jaipur,"London, United Kingdom"
1272,The Leela Palace New Delhi,"Macau, China"
1273,The Leela Palace Udaipur,"West Hollywood, California, United States"
1274,"The Legian Seminyak, Bali","Tucker's Town, Bermuda"
1275,The Little Nell,"Marananga, Australia"
1276,The Lodge at Sea Island,"New York, New York, United States"
1277,The Lodge at Spruce Peak,"Madrid, Spain"
1278,The Lodge at Torrey Pines,"Holderness, New Hampshire, United States"
1279,The Lodhi,"New York, New York, United States"
1280,The London EDITION,"Beverly Hills, California, United States"
1281,The Londoner,"Roquebrune-cap-martin, France"
1282,The Londoner Macao,"Dublin, Ireland"
1283,The London West Hollywood at Beverly Hills,"Miami Beach, Florida, United States"
1284,The Loren at Pink Beach,"Shanghai, China"
1285,The Louise,"London, United Kingdom"
1286,The Lowell,"Hong Kong, China"
1287,The Madrid EDITION,"Thiladhoo, Maldives"
1288,The Manor On Golden Pond,"London, United Kingdom"
1289,The Mark,"Boston, Massachusetts, United States"
1290,The Maybourne Beverly Hills,"New York, New York, United States"
1291,The Maybourne Riviera,"Portland, Oregon, United States"
1292,The Merrion Hotel,"Tel Aviv, Israel"
1293,The Miami Beach EDITION,"Ajman, United Arab Emirates"
1294,The Middle House,"Bali, Indonesia"
1295,The Milestone Hotel and Residences,"Terre Rouge, Mauritius"
1296,"The Murray, Hong Kong, a Niccolo Hotel","Marrakech, Morocco"
1297,The Nautilus Maldives,"Mumbai, India"
1298,The Ned London,"New Delhi, India"
1299,The Newbury Boston,"Jaipur, India"
1300,The New York EDITION,"Udaipur, India"
1301,"the Nines, a Luxury Collection Hotel, Portland","Giza, Egypt"
1302,The Norman Tel Aviv,"Nassau, Bahamas"
1303,"The Oberoi Beach Resort, Al Zorah","Tokyo, Japan"
1304,"The Oberoi Beach Resort, Bali","Dubai, United Arab Emirates"
1305,"The Oberoi Beach Resort, Mauritius","Providenciales, Turks And Caicos Islands"
1306,The Oberoi Marrakech,"Bangkok, Thailand"
1307,The Oberoi Mumbai,"Beijing, China"
1308,"The Oberoi, New Delhi","Beverly Hills, California, United States"
1309,"The Oberoi Rajvilas, Jaipur","Chicago, Illinois, United States"
1310,"The Oberoi Udaivilas, Udaipur","Hong Kong, China"
1311,"The Oberoi Zahra, Luxury Nile Cruise","Istanbul, Turkey"
1312,"The Ocean Club, A Four Seasons Resort, Bahamas","London, United Kingdom"
1313,The Okura Tokyo,"Makati, Philippines"
1314,The Palace Downtown Dubai,"New York, New York, United States"
1315,The Palms Turks & Caicos,"Paris, France"
1316,The Peninsula Bangkok,"Shanghai, China"
1317,The Peninsula Beijing,"Tokyo, Japan"
1318,The Peninsula Beverly Hills,"Floriana, Malta"
1319,The Peninsula Chicago,"Scottsdale, Arizona, United States"
1320,The Peninsula Hong Kong,"New York, New York, United States"
1321,The Peninsula Istanbul,"Florence, Italy"
1322,The Peninsula London,"New York, New York, United States"
1323,The Peninsula Manila,"Shanghai, China"
1324,The Peninsula New York,"Houston, Texas, United States"
1325,The Peninsula Paris,"Richmond, Rhode Island, United States"
1326,The Peninsula Shanghai,"Tokyo, Japan"
1327,The Peninsula Tokyo,"Shanghai, China"
1328,The Phoenicia Malta,"Beijing, China"
1329,"The Phoenician, a Luxury Collection Resort, Scottsdale","Laguna Beach, California, United States"
1330,"The Pierre, a Taj Hotel, New York","Nassau, Bahamas"
1331,The Place Firenze,"Cairns, Australia"
1332,The Plaza,"Newport Beach, California, United States"
1333,"The Portman Ritz-Carlton, Shanghai","Alajuela, Costa Rica"
1334,The Post Oak Hotel at Uptown Houston,"Reykjavík, Iceland"
1335,The Preserve Sporting Club & Resort,"Philadelphia, Pennsylvania, United States"
1336,"The Prince Gallery Tokyo Kioicho, a Luxury Collection Hotel","Tenerife, Spain"
1337,The PuLi Hotel and Spa Shanghai,"Amelia Island, Florida, United States"
1338,The PuXuan Hotel and Spa,"Palm Beach, Aruba"
1339,The Ranch at Laguna Beach,"Santa Barbara, California, United States"
1340,The Reef at Atlantis,"Beaver Creek, Colorado, United States"
1341,The Reef House Adults Retreat,"Bal Harbour, Florida, United States"
1342,The Resort at Pelican Hill,"Bali, Indonesia"
1343,"The Retreat Costa Rica, Wellness Resort & Spa","Beijing, China"
1344,The Reykjavik EDITION,"Berlin, Germany"
1345,The Rittenhouse,"Boston, Massachusetts, United States"
1346,"The Ritz-Carlton, Abama","Budapest, Hungary"
1347,"The Ritz-Carlton, Amelia Island","Chicago, Illinois, United States"
1348,"The Ritz-Carlton, Aruba","Irving, Texas, United States"
1349,"The Ritz-Carlton Bacara, Santa Barbara","Denver, Colorado, United States"
1350,"The Ritz-Carlton, Bachelor Gulch","Tucson, Arizona, United States"
1351,"The Ritz-Carlton Bal Harbour, Miami","Fort Lauderdale, Florida, United States"
1352,"The Ritz-Carlton, Bali","Washington, District of Columbia, United States"
1353,"The Ritz-Carlton Beijing, Financial Street","Grand Cayman, Cayman Islands"
1354,"The Ritz-Carlton, Berlin","Half Moon Bay, California, United States"
1355,"The Ritz-Carlton, Boston","Tel Aviv, Israel"
1356,"The Ritz-Carlton, Budapest","Hong Kong, China"
1357,The Ritz-Carlton Chicago,"Geneva, Switzerland"
1358,"The Ritz-Carlton Dallas, Las Colinas","Istanbul, Turkey"
1359,"The Ritz-Carlton, Denver","Miami, Florida, United States"
1360,"The Ritz-Carlton, Dove Mountain","Kyoto, Japan"
1361,"The Ritz-Carlton, Fort Lauderdale","Dana Point, California, United States"
1362,The Ritz-Carlton Georgetown Washington D.C.,"Truckee, California, United States"
1363,"The Ritz-Carlton, Grand Cayman","Male, Maldives"
1364,"The Ritz-Carlton, Half Moon Bay","Lahaina, Hawaii, United States"
1365,"The Ritz-Carlton, Herzliya","Melbourne, Australia"
1366,"The Ritz-Carlton, Hong Kong","Mexico City, Mexico"
1367,"The Ritz-Carlton Hotel de la Paix, Geneva","Singapore, Singapore"
1368,"The Ritz-Carlton, Istanbul","Naples, Florida, United States"
1369,"The Ritz-Carlton, Key Biscayne","Naples, Florida, United States"
1370,"The Ritz-Carlton, Kyoto","New Orleans, Louisiana, United States"
1371,"The Ritz-Carlton, Laguna Niguel","New York, New York, United States"
1372,"The Ritz-Carlton, Lake Tahoe","New York, New York, United States"
1373,"The Ritz-Carlton Maldives, Fari Islands","Nikko, Japan"
1374,"The Ritz-Carlton Maui, Kapalua","Kahuku, Hawaii, United States"
1375,"The Ritz-Carlton, Melbourne","Orlando, Florida, United States"
1376,"The Ritz-Carlton, Mexico City","Osaka, Japan"
1377,"The Ritz-Carlton, Millenia Singapore","Perth, Australia"
1378,"The Ritz-Carlton, Naples","Philadelphia, Pennsylvania, United States"
1379,"The Ritz-Carlton Naples, Tiburón","Rancho Mirage, California, United States"
1380,"The Ritz-Carlton, New Orleans","Greensboro, Georgia, United States"
1381,"The Ritz-Carlton New York, Central Park","San Francisco, California, United States"
1382,"The Ritz-Carlton New York, NoMad","Carolina, Puerto Rico"
1383,"The Ritz-Carlton, Nikko","Santiago, Chile"
1384,"The Ritz-Carlton Oahu, Turtle Bay","Sanya, China"
1385,"The Ritz-Carlton Orlando, Grande Lakes","Sarasota, Florida, United States"
1386,"The Ritz-Carlton, Osaka","Shanghai, China"
1387,"The Ritz-Carlton, Perth","Miami Beach, Florida, United States"
1388,"The Ritz-Carlton, Philadelphia","St. Thomas, U.S. Virgin Islands"
1389,"The Ritz-Carlton, Rancho Mirage","Tokyo, Japan"
1390,"The Ritz-Carlton Reynolds, Lake Oconee","Toronto, Ontario, Canada"
